"   Full Name             ","Short Name","FSF Free?","GPLv2 Compat?","GPLv3 Compat?","Upstream URL ",
"wxWidgets Library License      ","   wxWidgets    ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.wxwidgets.org/manuals/stable/wx_wxlicense.html"" class=""external free"">http://www.wxwidgets.org/manuals/stable/wx_wxlicense.html</a> ",
"xinetd License                 ","   xinetd       ","   Yes         ","NO           ","                   ","<a href=""https://fedoraproject.org/wiki/Licensing/Xinetd_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Xinetd_License</a> ",
"Xerox License                  ","   Xerox        ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Xerox"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Xerox</a> ",
"XPP License                    ","   xpp          ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/xpp"" class=""external free"">https://fedoraproject.org/wiki/Licensing/xpp</a> ",
"XSkat License                  ","   XSkat        ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/XSkat_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/XSkat_License</a> ",
"Yahoo Public License v 1.1     ","   YPLv1.1      ","   Yes         ","NO           ","NO           ","<a href=""http://www.zimbra.com/license/yahoo_public_license_1.1.html"" class=""external free"">http://www.zimbra.com/license/yahoo_public_license_1.1.html</a> ",
"Zed License                    ","   Zed          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Zed"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Zed</a> ",
"Zend License v2.0              ","   Zend         ","   Yes         ","NO           ","                   ","<a href=""http://www.zend.com/license/2_00.txt"" class=""external free"">http://www.zend.com/license/2_00.txt</a> ",
"Zope Public License v 1.0      ","   ZPLv1.0      ","   Yes         ","NO           ","NO           ","<a href=""http://old.zope.org/Resources/License/ZPL-1.1"" class=""external free"">http://old.zope.org/Resources/License/ZPL-1.1</a> ",
"Zope Public License v 2.0      ","   ZPLv2.0      ","   Yes         ","Yes                ","Yes                ","<a href=""http://old.zope.org/Resources/License/ZPL-2.0"" class=""external free"">http://old.zope.org/Resources/License/ZPL-2.0</a> ",
"Zope Public License v 2.1      ","   ZPLv2.1      ","   Yes         ","Yes                ","Yes                ","<a href=""http://old.zope.org/Resources/License/ZPL-2.1"" class=""external free"">http://old.zope.org/Resources/License/ZPL-2.1</a> ",
"zlib/libpng License            ","   zlib         ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.gzip.org/zlib/zlib_license.html"" class=""external free"">http://www.gzip.org/zlib/zlib_license.html</a> ",
"zlib/libpng License with Acknowledgement"," zlib with acknowledgement "," Yes ","NO ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/ZlibWithAcknowledgement"" class=""external free"">https://fedoraproject.org/wiki/Licensing/ZlibWithAcknowledgement</a> ",
